query_id,alignment_title,e_value,identity,accession,taxonomy,species
Query_7713931,"gi|325431|gb|K01834.1|HPUCGD Duck hepatitis B virus, complete genome",0.0,2990,K01834,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|33088057|gb|AY250901.1| Duck hepatitis B virus isolate 31, complete genome",0.0,2975,AY250901,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|33088061|gb|AY250902.1| Duck hepatitis B virus isolate 102, complete genome",0.0,2974,AY250902,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|20136726|gb|AF493986.1| Duck hepatitis B virus isolate Indiana, complete genome",0.0,2972,AF493986,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2982230|gb|AF047045.1| Duck hepatitis B virus, complete genome",0.0,2971,AF047045,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|31415503|gb|AY294028.1| Duck hepatitis B virus isolate ST10, complete genome",0.0,2971,AY294028,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|33088065|gb|AY250903.1| Duck hepatitis B virus isolate 8, complete genome >gi|33088069|gb|AY250904.1| Duck hepatitis B virus isolate 27, complete genome",0.0,2971,AY250903,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|311036247|gb|HQ214130.1| Duck hepatitis B virus strain DHBV-XY, complete genome",0.0,2968,HQ214130,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|748302902|gb|KM676220.1| Duck hepatitis B virus strain SCP01, complete genome",0.0,2967,KM676220,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|31415505|gb|AY294029.1| Duck hepatitis B virus isolate D1, complete genome",0.0,2966,AY294029,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|28629157|gb|AF505512.1| Duck hepatitis B virus, complete genome",0.0,2966,AF505512,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|325425|gb|M60677.1|HPUCGE Duck hepatitis B virus, complete genome",0.0,2965,M60677,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|31506004|gb|AY294656.1| Duck hepatitis B virus, complete genome",0.0,2964,AY294656,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|1442786807|gb|MF471769.1| Duck hepatitis B virus isolate SD-02, complete genome",0.0,2954,MF471769,Avihepadnavirus,hepatitis B virus
Query_7713931,gi|397342|emb|X74623.1| Duck hepatitis B Virus DNA complete genome,0.0,2954,X74623,Avihepadnavirus,hepatitis B virus
Query_7713931,gi|59057|emb|X12798.1| Duck hepatitis virus B genome,0.0,2953,X12798,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|1935902416|gb|MW176097.1| Duck hepatitis B virus isolate 410, complete genome",0.0,2830,MW176097,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|315360729|gb|HQ132730.1| Duck hepatitis B virus isolate DHBV-GD-056, complete genome",0.0,2829,HQ132730,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|1935902420|gb|MW176098.1| Duck hepatitis B virus isolate 414, complete genome",0.0,2828,MW176098,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|81251208|gb|DQ195079.1| Duck hepatitis B virus isolate 3, complete genome",0.0,2823,DQ195079,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763368|gb|OP762450.1| Duck hepatitis B virus strain Y190303HN, complete genome",0.0,2805,OP762450,Avihepadnavirus,hepatitis B virus
Query_7713931,gi|59054|emb|X58567.1| Duck hepatitis B virus,0.0,2804,X58567,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763304|gb|OP762434.1| Duck hepatitis B virus strain Y170101HB, complete genome",0.0,2800,OP762434,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|2450763300|gb|OP762433.1| Duck hepatitis B virus strain E190103HB, complete genome",0.0,2789,OP762433,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|169116565|gb|EU429326.1| Duck hepatitis B virus isolate CH6, complete genome",0.0,2505,EU429326,Avihepadnavirus,hepatitis B virus
Query_7713931,"gi|169116565|gb|EU429326.1| Duck hepatitis B virus isolate CH6, complete genome",0.0,429,EU429326,Avihepadnavirus,hepatitis B virus
